listing_id,amen_balcony,amen_security,amen_covered_parking,amen_view_of_landmark,amen_shared_gym,amen_lobby_in_building,amen_central_a_c,amen_kitchen_appliances,amen_built_in_wardrobes,amen_shared_spa,amen_shared_pool,amen_walk_in_closet,amen_study,amen_children_s_pool,amen_view_of_water,amen_private_garden,amen_maids_room,amen_private_pool,amen_networked,amen_dining_in_building
QNRAP2Q46Q4XWHBJK68P3W9F28,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
VB8WYM94GMYXD0EGQKG1VCE1CG,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KYWX3DFWXGYV7Z37WY0SZJV3HW,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
HDX1G2R2EFTD6PPZWWYGQWYY6R,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0
TG9M81W1ESDN9K8ZRDVHPQYY5G,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
M80H1QBT9S53EJWMQYVJ56YHN0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
01JT2Y1K8CYW3912C6VBX1S3Z7,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
VRXEX6REC4NME9QDVE3F1XE4QM,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0
27XPKD51KVABCRG8X8PMAP1DQC,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
FYWRW9VS8MW16NBC87D4HQATYR,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
V6EVQ8RW282X1Y7MA44CA1KNDC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2FT3CAJA83SK873ENTBV45KBZC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
KZXGK670Q98SKHB1NT8HXF0SK8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
D4VPRTSW0Q9ZH2CV40PFKG4174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6KJ95X4PGK36H5DN2DBMZ3CS5G,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
VGGA40DAT5X2F2TNKV7SJY111W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
RH5S27ZJZ1K9HFHEA3G4RG1HDG,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
M2HSATT57X3W12CHQ1H5GKMQP4,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
7N84HKJD7KAS6W8NDNXVHBPP3W,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
EHD52X98AXXRCY0D0Y37KYXR10,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
8QW3Z0JPVS8E61TE7C1EPNYRPR,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TZ7R2T31VHMGT1H781P1QHEPB4,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0
BM5M9EP5NQY5V3687QPD6W7924,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
9QFB67FSFG4VRV935RNGR15TEM,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
MXCF5ZMA5XPG6KHP1JXJ3RKDBM,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
132N1FYHRJD5JV1K3H6ZHBT0SG,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MYAAX44DHZ4GFTX5T099VWKBR0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTGFYKJWZRPCYRF5DA0K2APRWW,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Z2CCX1NG0620RG8F8HEJHCR8R8,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1MKEJSA7VSTSNW7H5TYBA999ZR,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
ZD7QT0R8GG9DPRY3YHG685JDXR,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF8FY66Q2BP4FBMAR0BQC7HPNW,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
HWGZ6D0HFN08E88KRQQ6VFXVVC,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
C6BSGXN3ACMTK4WPXPV86NB628,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
9M536G22S3PKXVJNX41HT33JEM,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
J9MD9CPKMN4JSRTWP4HBCF2YTR,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
FV20407FX204GJ18EAMAXFV2NR,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
8XVE4Z9E4YW8P53YHF17XHXPH0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
KDX33Z6Y2XTBCQ8EXVMVT38T4M,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
DZEK1PJAPBRT24B0VFFT8JQQSC,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0
